"Role","Role Id","Object","Domain","Matrix Code","Status","Detail"
"Owner","owner","Accounts","CRM","CRE","IMPLEMENTED","Create: account.record.create | Read: account.record.read | Edit: account.record.update, account.governedField.write"
"Owner","owner","Contacts","CRM","CRE","RULES ONLY","firestore.rules /contacts/{contactId}"
"Owner","owner","Customer Locations","CRM","CRE","RULES ONLY","firestore.rules /locations/{locationId}"
"Owner","owner","Opportunities","Sales","CRE","PARTIAL","HAS Read: opportunity.read | Edit: opportunity.write — MISSING Create (no capability exists for this verb)"
"Owner","owner","Marketing Initiatives","Marketing","CRE","NO CAPABILITY","no id in the catalog governs this object"
"Owner","owner","Sales Orders","Sales","CRE","IMPLEMENTED","Create: opportunity.createSalesOrder | Read: salesOrder.read | Edit: salesOrder.write, salesOrder.fulfill, salesOrder.service"
"Owner","owner","Commissions","Sales / Finance","CRE","NO CAPABILITY","no id in the catalog governs this object"
"Owner","owner","Work Orders","Service","CRE","PARTIAL","HAS Create: workOrder.create | Edit: workOrder.transition, workOrder.cancel, workOrder.parts.plan — MISSING Read (no capability exists for this verb)"
"Owner","owner","Dispatch Schedule","Service","CRE","PARTIAL","HAS Read: fulfillment.coordinatedVisit.read — MISSING Create (no capability exists for this verb) | Edit (no capability exists for this verb)"
"Owner","owner","Technician Time / Non-work","Service","CRE","NO CAPABILITY","no id in the catalog governs this object"
"Owner","owner","Parts Catalog","Inventory","CRE","PARTIAL","HAS Read: inventory.catalog.read | Edit: inventory.catalog.manage, inventory.catalog.activate — MISSING Create (no capability exists for this verb)"
"Owner","owner","Inventory Stock","Inventory","CRE","PARTIAL","HAS Read: inventory.transaction.read, inventory.analytics.read | Edit: inventory.stock.receive — MISSING Create (no capability exists for this verb)"
"Owner","owner","Inventory Adjustments","Inventory","CRE","IMPLEMENTED","Create: inventory.action.create | Read: inventory.action.read | Edit: inventory.cycleCount.reconcile"
"Owner","owner","Purchase Orders","Procurement","CRE","IMPLEMENTED","Create: reorder.purchaseOrder.create | Read: reorder.purchaseOrder.read | Edit: reorder.purchaseOrder.void"
"Owner","owner","Receiving","Inventory","CRE","PARTIAL","HAS Edit: inventory.stock.receive — MISSING Create (no capability exists for this verb) | Read (no capability exists for this verb)"
"Owner","owner","Transfer Orders","Inventory","CRE","IMPLEMENTED","Create: inventory.transfer.create | Read: warehouse.transferOrder.read | Edit: inventory.transfer.dispatch, inventory.transfer.receive, inventory.transfer.cancel"
"Owner","owner","Serialized Assets","Inventory","CRE","PARTIAL","HAS Read: inventory.serializedAsset.read — MISSING Create (no capability exists for this verb) | Edit (no capability exists for this verb)"
"Owner","owner","Equipment / Installed Base","Service","CRE","RULES ONLY","firestore.rules /equipment/{equipmentId}"
"Owner","owner","Invoices / AR","Finance","CRE","IMPLEMENTED","Create: finance.invoice.issue | Read: finance.read | Edit: finance.adjustment.record"
"Owner","owner","Payments","Finance","CRE","IMPLEMENTED","Create: finance.payment.apply | Read: finance.read | Edit: finance.refund.record"
"Owner","owner","Notifications","Platform","CRE","NO CAPABILITY","no id in the catalog governs this object"
"Owner","owner","Users","Administration","CRED","PARTIAL","HAS Edit: admin.userStatus.write, admin.credentialReset.initiate — MISSING Create (no capability exists for this verb) | Read (no capability exists for this verb)"
"Owner","owner","Roles / Permissions","Administration","CRED","PARTIAL","HAS Edit: admin.roleAssignment.write, admin.accessRequest.decide — MISSING Create (no capability exists for this verb) | Read (no capability exists for this verb)"
"Owner","owner","Audit Log","Administration","R","IMPLEMENTED","Read: audit.event.read"
"Administrator","admin","Accounts","CRM","CRE","IMPLEMENTED","Create: account.record.create | Read: account.record.read | Edit: account.record.update, account.governedField.write"
"Administrator","admin","Contacts","CRM","CRE","RULES ONLY","firestore.rules /contacts/{contactId}"
"Administrator","admin","Customer Locations","CRM","CRE","RULES ONLY","firestore.rules /locations/{locationId}"
"Administrator","admin","Opportunities","Sales","CRE","PARTIAL","HAS Read: opportunity.read | Edit: opportunity.write — MISSING Create (no capability exists for this verb)"
"Administrator","admin","Marketing Initiatives","Marketing","CRE","NO CAPABILITY","no id in the catalog governs this object"
"Administrator","admin","Sales Orders","Sales","CRE","IMPLEMENTED","Create: opportunity.createSalesOrder | Read: salesOrder.read | Edit: salesOrder.write, salesOrder.fulfill, salesOrder.service"
"Administrator","admin","Commissions","Sales / Finance","CRE","NO CAPABILITY","no id in the catalog governs this object"
"Administrator","admin","Work Orders","Service","CRE","PARTIAL","HAS Create: workOrder.create | Edit: workOrder.transition, workOrder.cancel, workOrder.parts.plan — MISSING Read (no capability exists for this verb)"
"Administrator","admin","Dispatch Schedule","Service","CRE","PARTIAL","HAS Read: fulfillment.coordinatedVisit.read — MISSING Create (no capability exists for this verb) | Edit (no capability exists for this verb)"
"Administrator","admin","Technician Time / Non-work","Service","CRE","NO CAPABILITY","no id in the catalog governs this object"
"Administrator","admin","Parts Catalog","Inventory","CRE","PARTIAL","HAS Read: inventory.catalog.read | Edit: inventory.catalog.manage, inventory.catalog.activate — MISSING Create (no capability exists for this verb)"
"Administrator","admin","Inventory Stock","Inventory","CRE","PARTIAL","HAS Read: inventory.transaction.read, inventory.analytics.read | Edit: inventory.stock.receive — MISSING Create (no capability exists for this verb)"
