Object,Administrator (compatibility),Dispatcher (compatibility),Technician (compatibility),General Employee,Office Manager,Sales Manager,Accounting Manager,Finance Manager,Field Manager,Operations Manager,Owner,Inventory CREATE Executor (temporary),Inventory Catalog Administrator,Work Order Parts Planner,CRM Activity Contributor,Inventory Transfer Operator,Inventory Cycle Count Counter,Inventory Cycle Count Reconciler
account.governedField,"U","","","","","","U","U","","","U","","","","","","",""
account.record,"C R U","C R U","","","C R U","C R U","R","R","R","C R","C R U","","","","","","",""
admin.accessRequest,"decide","","","","","","","","","","decide","","","","","","",""
admin.credentialReset,"","","","","","","","","","","","","","","","","",""
admin.roleAssignment,"U","","","","","","","","","","U","","","","","","",""
admin.userStatus,"U","","","","","","","","","","U","","","","","","",""
audit.event,"","","","","","","","","","","","","","","","","",""
coverage,"","","","","","","","","","","","","","","","","",""
crm.activity,"","","","","","","","","","","","","","","C R *","","",""
equipment.compatibility,"","","","","","","","","","","","","","","","","",""
equipment.model,"","","","","","","","","","","","","","","","","",""
finance,"R *","","","","","","","","","","R *","","","","","","",""
finance.adjustment,"record *","","","","","","","","","","record *","","","","","","",""
finance.invoice,"issue *","","","","","","","","","","issue *","","","","","","",""
finance.payment,"apply *","","","","","","","","","","apply *","","","","","","",""
finance.refund,"record *","","","","","","","","","","record *","","","","","","",""
fulfillment.coordinatedVisit,"R *","R *","","","","","","","R *","R *","R *","","","","","","",""
inventory.action,"C R","C R","R","","","","","","","R","C R","","","","","","",""
inventory.analytics,"R","R","","","","","","","","","R","","","","","","",""
inventory.catalog,"R *","R *","R *","","","","","","","","R *","manage","R activate manage *","","","","",""
inventory.cycleCount,"","","","","","","","","","","","","","","","","C cancel submit *","reconcile *"
inventory.location.display,"","","","","","","","","","","","","","","","","",""
inventory.serializedAsset,"","","","","","","","","","","","","","","","","",""
inventory.stock,"receive","receive","","","","","","","","","receive","","","","","","",""
inventory.transaction,"R","R","R","","","R","","","R","R","R","","","","","","",""
inventory.transfer,"","","","","","","","","","","","","","","","C cancel dispatch receive *","",""
opportunity,"R U createSalesOrder *","R U createSalesOrder *","","","","","","","","","R U createSalesOrder *","","","","","","",""
reorder.purchaseOrder,"C R void","C R void","C R","","","","R","R","","R","C R void","","","","","","",""
reorder.request,"approve assign cancel create.manual create.system markReceived postPurchasingUpdate read.own read.queue recordPurchaseOrder reject startPurchasing","approve assign cancel create.manual create.system markReceived postPurchasingUpdate read.own read.queue recordPurchaseOrder reject startPurchasing","assign create.manual markReceived postPurchasingUpdate read.own read.queue recordPurchaseOrder startPurchasing","","","","","","","read.queue","approve assign cancel create.manual create.system markReceived postPurchasingUpdate read.own read.queue recordPurchaseOrder reject startPurchasing","","","","","","",""
report.contact,"","","","","","","","","","","R","","","","","","",""
report.contact.field.customer,"","","","","","","","","","","R","","","","","","",""
report.contact.field.email,"","","","","","","","","","","R","","","","","","",""
report.contact.field.name,"","","","","","","","","","","R","","","","","","",""
report.contact.field.phone,"","","","","","","","","","","R","","","","","","",""
report.contact.field.role,"","","","","","","","","","","R","","","","","","",""
report.customer,"","","","","","","","","","","R","","","","","","",""
report.customer.field.accountOwner,"","","","","","","","","","","","","","","","","",""
report.customer.field.billingAddress,"","","","","","","","","","","R","","","","","","",""
report.customer.field.billingContact,"","","","","","","","","","","R","","","","","","",""
report.customer.field.commercialProfile,"","","","","","","","","","","R","","","","","","",""
report.customer.field.createdAt,"","","","","","","","","","","R","","","","","","",""
report.customer.field.externalIds,"","","","","","","","","","","R","","","","","","",""
report.customer.field.name,"","","","","","","","","","","R","","","","","","",""
report.customer.field.notes,"","","","","","","","","","","","","","","","","",""
report.customer.field.paymentTerms,"","","","","","","","","","","R","","","","","","",""
report.customer.field.relationshipTypes,"","","","","","","","","","","R","","","","","","",""
report.customer.field.status,"","","","","","","","","","","R","","","","","","",""
report.customer.field.tags,"","","","","","","","","","","R","","","","","","",""
report.customer.field.taxStatus,"","","","","","","","","","","R","","","","","","",""
report.definition,"","","","","","","","","","","C R D duplicate rename","","","","","","",""
report.equipment,"","","","","","","","","","","R","","","","","","",""
report.equipment.field.createdAt,"","","","","","","","","","","R","","","","","","",""
report.equipment.field.customer,"","","","","","","","","","","R","","","","","","",""
report.equipment.field.dates,"","","","","","","","","","","R","","","","","","",""
report.equipment.field.identity,"","","","","","","","","","","R","","","","","","",""
report.equipment.field.location,"","","","","","","","","","","R","","","","","","",""
report.equipment.field.name,"","","","","","","","","","","R","","","","","","",""
report.equipment.field.notes,"","","","","","","","","","","R","","","","","","",""
report.equipment.field.status,"","","","","","","","","","","R","","","","","","",""
report.location,"","","","","","","","","","","R","","","","","","",""
report.location.field.accessNotes,"","","","","","","","","","","","","","","","","",""
report.location.field.address,"","","","","","","","","","","R","","","","","","",""
report.location.field.customer,"","","","","","","","","","","R","","","","","","",""
report.location.field.name,"","","","","","","","","","","R","","","","","","",""
salesOrder,"R U fulfill service *","R U fulfill service *","","","","R *","R *","R *","","","R U fulfill service *","","","","","","",""
warehouse.record,"R","R","","","","","","","","R","R","","","","","","",""
warehouse.stockLocation,"R","R","","","","","","","","R","R","","","","","","",""
warehouse.transferOrder,"R","R","","","","","","","","R","R","","","","","","",""
workOrder,"C cancel transition","C cancel transition","transition","","C","","","","C cancel transition","C cancel transition","C cancel transition","","","","","","",""
workOrder.parts,"","","","","","","","","","","","","","plan *","","","",""
