canonical_partId,internalPartNumber,static_sku_match,match_method,match_result,name_production,name_static,name_parity,unit_production,unit_static_raw,unit_static_normalized,unit_parity,mismatch_or_ambiguity_reason
TST-1001,NOT_EXPOSED_IN_SOURCE,TST-1001,EXACT_STRING(partId==sku),MATCHED,Hex Coupler,Hex Coupler,MATCH,EACH,ea,EACH,MATCH,
TST-1002,NOT_EXPOSED_IN_SOURCE,TST-1002,EXACT_STRING(partId==sku),MATCHED,Tune-Up Kit — Deluxe - 3 Ton,Tune-Up Kit — Deluxe - 3 Ton,MATCH,KIT,kit,KIT,MATCH,
TST-1003,NOT_EXPOSED_IN_SOURCE,TST-1003,EXACT_STRING(partId==sku),MATCHED,Freezer Cylinder - Compact,Freezer Cylinder - Compact,MATCH,EACH,ea,EACH,MATCH,
TST-1004,NOT_EXPOSED_IN_SOURCE,TST-1004,EXACT_STRING(partId==sku),MATCHED,Hopper Agitator - Single Flavor,Hopper Agitator - Single Flavor,MATCH,EACH,ea,EACH,MATCH,
TST-1005,NOT_EXPOSED_IN_SOURCE,TST-1005,EXACT_STRING(partId==sku),MATCHED,Syrup Pump - Floor Model,Syrup Pump - Floor Model,MATCH,EACH,ea,EACH,MATCH,
TST-1006,NOT_EXPOSED_IN_SOURCE,TST-1006,EXACT_STRING(partId==sku),MATCHED,Auger Shaft - Gen II,Auger Shaft - Gen II,MATCH,EACH,ea,EACH,MATCH,
TST-1007,NOT_EXPOSED_IN_SOURCE,TST-1007,EXACT_STRING(partId==sku),MATCHED,Door Gasket - HD,Door Gasket - HD,MATCH,EACH,ea,EACH,MATCH,
TST-1008,NOT_EXPOSED_IN_SOURCE,TST-1008,EXACT_STRING(partId==sku),MATCHED,Sanitizer Solution 32oz - Countertop,Sanitizer Solution 32oz - Countertop,MATCH,BOTTLE,bottle,BOTTLE,MATCH,
TST-1009,NOT_EXPOSED_IN_SOURCE,TST-1009,EXACT_STRING(partId==sku),MATCHED,Beater Assembly,Beater Assembly,MATCH,EACH,ea,EACH,MATCH,
TST-1010,NOT_EXPOSED_IN_SOURCE,TST-1010,EXACT_STRING(partId==sku),MATCHED,Drive Belt - Gen II,Drive Belt - Gen II,MATCH,EACH,ea,EACH,MATCH,
TST-1011,NOT_EXPOSED_IN_SOURCE,TST-1011,EXACT_STRING(partId==sku),MATCHED,Mix Pump Tube - Floor Model,Mix Pump Tube - Floor Model,MATCH,EACH,ea,EACH,MATCH,
TST-1012,NOT_EXPOSED_IN_SOURCE,TST-1012,EXACT_STRING(partId==sku),MATCHED,Brush Kit — Large - Twin Twist,Brush Kit — Large - Twin Twist,MATCH,KIT,kit,KIT,MATCH,
TST-1013,NOT_EXPOSED_IN_SOURCE,TST-1013,EXACT_STRING(partId==sku),MATCHED,Thermistor Sensor - Compact,Thermistor Sensor - Compact,MATCH,EACH,ea,EACH,MATCH,
TST-1014,NOT_EXPOSED_IN_SOURCE,TST-1014,EXACT_STRING(partId==sku),MATCHED,Door Gasket - Floor Model,Door Gasket - Floor Model,MATCH,EACH,ea,EACH,MATCH,
TST-1015,NOT_EXPOSED_IN_SOURCE,TST-1015,EXACT_STRING(partId==sku),MATCHED,Condenser Fan Motor - HD,Condenser Fan Motor - HD,MATCH,EACH,ea,EACH,MATCH,
TST-1016,NOT_EXPOSED_IN_SOURCE,TST-1016,EXACT_STRING(partId==sku),MATCHED,Expansion Valve - Twin Twist,Expansion Valve - Twin Twist,MATCH,EACH,ea,EACH,MATCH,
TST-1017,NOT_EXPOSED_IN_SOURCE,TST-1017,EXACT_STRING(partId==sku),MATCHED,Brush Kit — Small - Gen II,Brush Kit — Small - Gen II,MATCH,KIT,kit,KIT,MATCH,
TST-1018,NOT_EXPOSED_IN_SOURCE,TST-1018,EXACT_STRING(partId==sku),MATCHED,Consistency Control Knob - 3 Ton,Consistency Control Knob - 3 Ton,MATCH,EACH,ea,EACH,MATCH,
TST-1019,NOT_EXPOSED_IN_SOURCE,TST-1019,EXACT_STRING(partId==sku),MATCHED,Syrup Pump - Pro Series,Syrup Pump - Pro Series,MATCH,EACH,ea,EACH,MATCH,
TST-1020,NOT_EXPOSED_IN_SOURCE,TST-1020,EXACT_STRING(partId==sku),MATCHED,Expansion Valve - Compact,Expansion Valve - Compact,MATCH,EACH,ea,EACH,MATCH,
TST-1021,NOT_EXPOSED_IN_SOURCE,TST-1021,EXACT_STRING(partId==sku),MATCHED,Tune-Up Kit — Deluxe - Countertop,Tune-Up Kit — Deluxe - Countertop,MATCH,KIT,kit,KIT,MATCH,
TST-1022,NOT_EXPOSED_IN_SOURCE,TST-1022,EXACT_STRING(partId==sku),MATCHED,Beater Motor - HD,Beater Motor - HD,MATCH,EACH,ea,EACH,MATCH,
TST-1023,NOT_EXPOSED_IN_SOURCE,TST-1023,EXACT_STRING(partId==sku),MATCHED,Draw Handle - Twin Twist,Draw Handle - Twin Twist,MATCH,EACH,ea,EACH,MATCH,
TST-1024,NOT_EXPOSED_IN_SOURCE,TST-1024,EXACT_STRING(partId==sku),MATCHED,Draw Handle - Pro Series,Draw Handle - Pro Series,MATCH,EACH,ea,EACH,MATCH,
TST-1025,NOT_EXPOSED_IN_SOURCE,TST-1025,EXACT_STRING(partId==sku),MATCHED,Tune-Up Kit — Standard,Tune-Up Kit — Standard,MATCH,KIT,kit,KIT,MATCH,
TST-1026,NOT_EXPOSED_IN_SOURCE,TST-1026,EXACT_STRING(partId==sku),MATCHED,Relay Switch - Single Flavor,Relay Switch - Single Flavor,MATCH,EACH,ea,EACH,MATCH,
TST-1027,NOT_EXPOSED_IN_SOURCE,TST-1027,EXACT_STRING(partId==sku),MATCHED,Tune-Up Kit — Deluxe - Twin Twist,Tune-Up Kit — Deluxe - Twin Twist,MATCH,KIT,kit,KIT,MATCH,
TST-1028,NOT_EXPOSED_IN_SOURCE,TST-1028,EXACT_STRING(partId==sku),MATCHED,Brush Kit — Large - Gen II,Brush Kit — Large - Gen II,MATCH,KIT,kit,KIT,MATCH,
TST-1029,NOT_EXPOSED_IN_SOURCE,TST-1029,EXACT_STRING(partId==sku),MATCHED,Relay Switch - Gen II,Relay Switch - Gen II,MATCH,EACH,ea,EACH,MATCH,
