Role,Object,Create,Read,Edit,Delete,Access Code,Record Scope,Design Status,Control Notes
Owner,Accounts,Yes,Yes,Yes,No,CRE,Enterprise,Proposed,"Customer/company master. Access is subject to role scope, segregation of duties, and audit logging."
Owner,Contacts,Yes,Yes,Yes,No,CRE,Enterprise,Proposed,"People related to accounts. Access is subject to role scope, segregation of duties, and audit logging."
Owner,Customer Locations,Yes,Yes,Yes,No,CRE,Enterprise,Proposed,"Service, delivery, and installation sites. Access is subject to role scope, segregation of duties, and audit logging."
Owner,Opportunities,Yes,Yes,Yes,No,CRE,Enterprise,Proposed,"Sales pipeline records. Access is subject to role scope, segregation of duties, and audit logging."
Owner,Marketing Initiatives,Yes,Yes,Yes,No,CRE,Enterprise,Proposed,"Campaign/initiative tags and activity. Access is subject to role scope, segregation of duties, and audit logging."
Owner,Sales Orders,Yes,Yes,Yes,No,CRE,Enterprise,Proposed,"Committed customer orders. Use cancel, void, reverse, deactivate, or corrective transaction; hard delete is not permitted."
Owner,Commissions,Yes,Yes,Yes,No,CRE,Enterprise,Proposed,"Calculated and approved sales compensation. Use cancel, void, reverse, deactivate, or corrective transaction; hard delete is not permitted."
Owner,Work Orders,Yes,Yes,Yes,No,CRE,Enterprise,Proposed,"Service/install job lifecycle. Use cancel, void, reverse, deactivate, or corrective transaction; hard delete is not permitted."
Owner,Dispatch Schedule,Yes,Yes,Yes,No,CRE,Enterprise,Proposed,"Technician schedule and assignment. Access is subject to role scope, segregation of duties, and audit logging."
Owner,Technician Time / Non-work,Yes,Yes,Yes,No,CRE,Enterprise,Proposed,"Labor and non-work time records. Access is subject to role scope, segregation of duties, and audit logging."
Owner,Parts Catalog,Yes,Yes,Yes,No,CRE,Enterprise,Proposed,"Part master data. Access is subject to role scope, segregation of duties, and audit logging."
Owner,Inventory Stock,Yes,Yes,Yes,No,CRE,Enterprise,Proposed,"On-hand, reserved, and available stock. Access is subject to role scope, segregation of duties, and audit logging."
