Business Role Id,Business Role,Object,CRUD Code,Capability IDs,Functional Role,Governance Type,Scope,SoD Group,Implemented,Active,Current Grant,Intended,Default Composition,Semantic Mapping Justification,Owner/Decision Reference
owner,Owner,Accounts,CRE,account.record.create account.record.read account.record.update,,CAPABILITY_GOVERNED,Enterprise,,YES,,,YES,,Capability governs the same business action this row describes.,
owner,Owner,Contacts,CRE,(none),,RULE_GOVERNED,Enterprise,,NO,,,YES,,No capability governs this object; authority is enforced by firestore.rules.,
owner,Owner,Customer Locations,CRE,(none),,RULE_GOVERNED,Enterprise,,NO,,,YES,,No capability governs this object; authority is enforced by firestore.rules.,
owner,Owner,Opportunities,CRE,opportunity.write opportunity.createSalesOrder opportunity.read,,CAPABILITY_GOVERNED,Enterprise,,YES,,,YES,,Capability governs the same business action this row describes.,
owner,Owner,Marketing Initiatives,CRE,(none),,UNMODELLED,Enterprise,,NO,,,YES,,Business intent recorded; the platform does not model this action.,
owner,Owner,Sales Orders,CRE,salesOrder.write salesOrder.read,,CAPABILITY_GOVERNED,Enterprise,,YES,,,YES,,Capability governs the same business action this row describes.,
owner,Owner,Commissions,CRE,(none),,UNMODELLED,Enterprise,,NO,,,YES,,Business intent recorded; the platform does not model this action.,
owner,Owner,Work Orders,CRE,workOrder.create workOrder.transition,,CAPABILITY_GOVERNED,Enterprise,,YES,,,YES,,Capability governs the same business action this row describes.,
owner,Owner,Dispatch Schedule,CRE,workOrder.transition,,CAPABILITY_GOVERNED,Enterprise,,YES,,,YES,,Capability governs the same business action this row describes.,
owner,Owner,Technician Time / Non-work,CRE,(none),,RULE_GOVERNED,Enterprise,,NO,,,YES,,No capability governs this object; authority is enforced by firestore.rules.,
owner,Owner,Parts Catalog,CRE,inventory.catalog.manage inventory.catalog.read,,CAPABILITY_GOVERNED,Enterprise,,YES,,,YES,,Capability governs the same business action this row describes.,
owner,Owner,Inventory Stock,CRE,inventory.balance.read inventory.transaction.read,,CAPABILITY_GOVERNED,Enterprise,,YES,,,YES,,Capability governs the same business action this row describes.,
owner,Owner,Inventory Adjustments,CRE,inventory.action.read,,CAPABILITY_GOVERNED,Enterprise,,YES,,,YES,,Capability governs the same business action this row describes.,
owner,Owner,Purchase Orders,CRE,reorder.purchaseOrder.create reorder.purchaseOrder.read reorder.request.postPurchasingUpdate,,CAPABILITY_GOVERNED,Enterprise,,YES,,,YES,,Capability governs the same business action this row describes.,
owner,Owner,Receiving,CRE,inventory.stock.receive,,CAPABILITY_GOVERNED,Enterprise,,YES,,,YES,,Capability governs the same business action this row describes.,
owner,Owner,Transfer Orders,CRE,warehouse.transferOrder.read,,CAPABILITY_GOVERNED,Enterprise,,YES,,,YES,,Capability governs the same business action this row describes.,
owner,Owner,Serialized Assets,CRE,inventory.serializedAsset.read,,CAPABILITY_GOVERNED,Enterprise,,YES,,,YES,,Capability governs the same business action this row describes.,
owner,Owner,Equipment / Installed Base,CRE,(none),,RULE_GOVERNED,Enterprise,,NO,,,YES,,No capability governs this object; authority is enforced by firestore.rules.,
owner,Owner,Invoices / AR,CRE,finance.invoice.issue finance.read finance.adjustment.record,,CAPABILITY_GOVERNED,Enterprise,,YES,,,YES,,Capability governs the same business action this row describes.,
owner,Owner,Payments,CRE,finance.payment.apply finance.read finance.refund.record,,CAPABILITY_GOVERNED,Enterprise,,YES,,,YES,,Capability governs the same business action this row describes.,
owner,Owner,Notifications,CRE,(none),,RULE_GOVERNED,Enterprise,,NO,,,YES,,No capability governs this object; authority is enforced by firestore.rules.,
owner,Owner,Users,CRED,(none),,UNMODELLED,Enterprise,,NO,,,YES,,Business intent recorded; the platform does not model this action.,
